recipe_id,recipe_name,ingredients,core_ingredients,optional_ingredients,base_servings
144,Paneer Roll,"roti,paneer","roti,paneer","sauce,spices",3
145,Frankie,"roti,vegetables","roti","sauce,spices",3
146,Samosa,"flour,potato","flour,potato","oil,spices",4
147,Aloo Chop,"potato,besan","potato","oil,spices",3
148,Pakora,"besan,vegetables","besan","oil,spices",3
149,Onion Pakora,"onion,besan","onion","oil,spices",3
150,Bread Pakora,"bread,besan","bread","oil,spices",3
151,Mirchi Bajji,"chilli,besan","chilli","oil,spices",3
152,Chaat,"potato,chutney","potato","spices",2
153,Pani Puri,"puri,water","puri","chutney,spices",2
154,Bhel Puri,"puffed rice,vegetables","puffed rice","chutney,spices",2
155,Sev Puri,"puri,sev","puri","chutney,spices",2
156,Papdi Chaat,"papdi,curd","papdi","chutney,spices",2
157,Seekh Kebab,"meat,spices","meat","oil",4
158,Shami Kebab,"meat,dal","meat","spices",4
159,Chicken Kebab,"chicken,spices","chicken","oil",4
160,Sandwich,"bread,vegetables","bread","butter,sauce",1
161,Bread Omelette,"bread,egg","bread,egg","oil,spices",2
162,Maggi,"noodles,water","noodles","masala",1
163,Cheese Maggi,"noodles,cheese","noodles","cheese,butter",2
164,Masala Maggi,"noodles,vegetables","noodles","spices,vegetables",2
165,Cutlet,"potato,vegetables","potato","breadcrumbs,spices",3
166,Veg Cutlet,"vegetables,crumbs","vegetables","spices,oil",3
167,Chicken Cutlet,"chicken,crumbs","chicken","spices,oil",4
168,Ghugni,"peas,spices","peas","onion,oil",2
169,Cholar Dal,"chana dal,spices","dal","coconut,spices",2
170,Dalma,"dal,vegetables","dal,vegetables","spices",2
171,Pakhala Bhata,"rice,water","rice","curd,salt",1
172,Dhuska,"rice,dal","rice,dal","oil",3
173,Gatte ki Sabzi,"besan,curd","besan","spices",3
174,Appam,"rice,coconut","rice","yeast",2
175,Idiyappam,"rice flour,water","rice flour","coconut",2
176,Puttu,"rice flour,coconut","rice flour","coconut",2
177,Kadala Curry,"chickpeas,spices","chickpeas","coconut,spices",3
178,Bisi Bele Bath,"rice,dal","rice,dal","vegetables,spices",3
179,Ragi Mudde,"ragi flour,water","ragi","salt",1
180,Haleem,"wheat,meat","wheat,meat","spices",5
181,Nihari,"meat,spices","meat","oil,spices",5
182,Thukpa,"noodles,vegetables","noodles","spices,broth",3
183,Jadoh,"rice,meat","rice,meat","spices",3
184,Eromba,"vegetables,fish","vegetables","chilli,spices",3
185,Kangsho,"meat,vegetables","meat","spices",4
186,Bai,"vegetables,fermented fish","vegetables","spices",3
187,Mui Borok,"rice,fermented fish","rice","vegetables,spices",3
188,Smoked Meat,"meat,spices","meat","wood smoke",4
189,Bamboo Shoot Curry,"bamboo shoot,vegetables","bamboo shoot","spices,oil",3
190,Aloo Posto,"potato,posto","potato","mustard oil,spices",2
191,Shorshe Ilish,"hilsa,mustard","hilsa","mustard oil,spices",4
192,Bhetki Paturi,"bhetki,mustard","bhetki","banana leaf,spices",4
193,Ilish Bhapa,"hilsa,mustard","hilsa","mustard oil",4
194,Doi Maach,"fish,curd","fish","spices,oil",4
195,Rui Maach Kalia,"fish,spices","fish","onion,oil",4
196,Katla Kalia,"fish,spices","fish","onion,oil",4
197,Chingri Bhapa,"prawn,mustard","prawn","mustard oil",4
198,Chingri Paturi,"prawn,mustard","prawn","banana leaf",4
199,Mochar Ghonto,"banana flower,potato","banana flower","spices",3
200,Thor Ghonto,"banana stem,potato","banana stem","spices",3
201,Shukto,"vegetables,bitter gourd","vegetables","milk,spices",3
202,Chorchori,"mixed vegetables","vegetables","mustard oil,spices",2
203,Labra,"mixed vegetables","vegetables","spices",2
204,Kumro Phool Bhaja,"pumpkin flower,besan","flower","oil,spices",2
205,Begun Bhaja,"brinjal,oil","brinjal","spices",2
206,Posto Bora,"posto,potato","posto","oil,spices",2
207,Macher Jhol,"fish,vegetables","fish","spices,oil",3
208,Macher Kalia,"fish,spices","fish","onion,oil",4
209,Chicken Dak Bungalow,"chicken,egg","chicken","potato,spices",4
210,Bengali Chicken Curry,"chicken,potato","chicken","spices,oil",3
211,Mangshor Jhol,"mutton,potato","mutton","spices,oil",4
212,Kosha Chicken,"chicken,spices","chicken","oil",4
213,Dim Kosha,"egg,spices","egg","oil",2
214,Dim Posto,"egg,posto","egg","mustard oil",2
215,Dimer Dalna,"egg,potato","egg","spices,oil",2
216,Paneer Dalna,"paneer,potato","paneer","spices,oil",3
217,Chhanar Dalna,"chhena,potato","chhena","spices,oil",3
218,Niramish Aloo Dum,"potato,spices","potato","ghee",2
219,Bengali Aloo Dum,"potato,spices","potato","oil",2
220,Luchi Aloor Dom,"flour,potato","flour,potato","oil,spices",3
221,Basanti Pulao,"rice,ghee","rice","spices,sugar",3
222,Gobindobhog Rice,"rice,water","rice","ghee",1
223,Payesh,"rice,milk","rice","sugar",2
224,Mishti Doi,"milk,curd","milk","sugar",2
225,Chanar Payesh,"chhena,milk","chhena","sugar",2
226,Suji Payesh,"suji,milk","suji","sugar",2
227,Chirer Pulao,"flattened rice,vegetables","poha","spices",2
228,Chirer Upma,"flattened rice,vegetables","poha","spices",2
229,Fish Korma,"fish,curd","fish","spices,oil",4
230,Bengali Fish Curry,"fish,vegetables","fish","spices,oil",3
