custom_id,custom_name,step_no,action,description,time,temperature,scalable,preferred_energy,applicable_actions
43,low_fat,1,heat,"Use minimal fat or oil during cooking",0,low,no,lpg,"heat"

44,high_fat,1,finish,"Add extra fat like butter or cream at the end",2,low,no,none,"finish"

45,cream,1,finish,"Add cream at final stage for rich texture",2,low,no,none,"finish"

46,cheese_layer,1,finish,"Add a thick cheese layer on top without mixing",2,low,no,none,"finish"

47,double_spice,1,cook,"Double the spice quantity for intense flavor",2,medium,no,lpg,"cook"

48,half_spice,1,cook,"Reduce spices to half for mild taste",0,low,no,none,"cook"

49,marination,1,prepare,"Marinate ingredients with spices before cooking",10,low,no,none,"prepare"

50,deep_fry,1,fry,"Deep fry ingredients in oil for crispy texture",6,high,no,lpg,"fry"

51,shallow_fry,1,fry,"Use minimal oil for shallow frying",4,medium,no,lpg,"fry"

52,steam_only,1,steam,"Cook ingredients only using steam method",10,low,yes,induction,"steam"

53,boil_only,1,boil,"Cook entire dish by boiling method",10,high,yes,induction,"boil"

54,raw_mix,1,mix,"Add some ingredients raw for fresh taste",2,low,no,none,"mix"

55,fermented,1,prepare,"Allow ingredients to ferment before cooking",30,low,no,none,"prepare"

56,smash,1,prepare,"Mash ingredients before cooking",3,low,no,none,"prepare"

57,grill,1,grill,"Grill ingredients for smoky taste",7,high,no,lpg,"cook"

58,air_fry,1,fry,"Use air frying method for low oil cooking",6,medium,no,induction,"fry"

59,pressure_fast,1,pressure,"Use pressure cooking for quick preparation",5,high,yes,lpg,"cook"

60,layered_cooking,1,cook,"Cook ingredients layer by layer for better flavor",6,medium,no,lpg,"cook"

61,one_pot,1,cook,"Cook everything in a single pot to save energy",0,medium,yes,lpg,"cook"

62,preheat_pan,1,heat,"Preheat pan before adding ingredients",2,medium,no,lpg,"heat"

63,cold_start,1,heat,"Start cooking from cold pan slowly",0,low,no,lpg,"heat"

64,extra_stir,1,cook,"Stir frequently during cooking",1,low,yes,none,"cook"

65,no_stir,1,cook,"Avoid stirring for better texture formation",0,low,no,none,"cook"

66,cover_cook,1,cook,"Keep lid closed while cooking",0,low,yes,lpg,"cook"

67,open_cook,1,cook,"Cook without lid to reduce moisture",0,medium,no,lpg,"cook"

68,reduce_water,1,boil,"Use less water for thicker consistency",0,low,yes,none,"boil"

69,increase_water,1,boil,"Add more water for liquid consistency",1,low,yes,induction,"boil"

70,flavor_boost,1,finish,"Add flavor enhancer at the end",1,low,no,none,"finish"

71,herb_infusion,1,cook,"Cook with herbs to infuse flavor",3,medium,no,lpg,"cook"

72,spice_tempering,1,fry,"Prepare separate spice tempering and add",3,medium,no,lpg,"fry"

73,double_tempering,1,fry,"Add tempering twice for strong flavor",4,medium,no,lpg,"fry"

74,slow_heat,1,cook,"Cook slowly over low heat",6,low,yes,lpg,"cook"

75,high_heat_finish,1,finish,"Use high heat at end for final texture",2,high,no,lpg,"finish"

76,crispy_top,1,fry,"Fry top layer until crispy",3,medium,no,lpg,"fry"

77,soft_top,1,steam,"Steam top layer for softness",4,low,no,lpg,"steam"

78,add_stock,1,boil,"Use vegetable or chicken stock instead of water",2,high,yes,induction,"boil"

79,sauce_mix,1,mix,"Add sauce and mix properly",2,low,no,none,"mix"

80,extra_rest,1,finish,"Let dish rest before serving",5,low,no,none,"finish"

81,quick_rest,1,finish,"Short resting time before serving",2,low,no,none,"finish"

82,double_mix,1,mix,"Mix ingredients multiple times",2,low,no,none,"mix"

83,light_mix,1,mix,"Mix gently to avoid breaking texture",1,low,no,none,"mix"

84,gravy_style,1,boil,"Increase liquid for gravy consistency",3,medium,yes,induction,"boil"

85,dry_style,1,cook,"Reduce moisture for dry dish",3,medium,no,lpg,"cook"

86,caramelize,1,fry,"Cook until ingredients caramelize slightly",5,medium,no,lpg,"fry"

87,deglaze,1,cook,"Add liquid to lift flavors from pan",2,medium,no,lpg,"cook"

88,add_vinegar,1,finish,"Add vinegar for tangy taste",1,low,no,none,"finish"

89,sweet_balance,1,finish,"Add sweet component to balance taste",1,low,no,none,"finish"

90,texture_balance,1,cook,"Adjust cooking for balanced texture",3,medium,no,lpg,"cook"
