recipe_id,step_no,action,description,time,temperature,scalable,preferred_energy
21,1,prepare,"Mix maize flour with warm water and knead properly",8,low,no,none
21,2,roll,"Shape dough into thick roti using hands",6,low,no,none
21,3,heat,"Heat tawa on medium flame",2,medium,no,lpg
21,4,cook,"Cook both sides evenly until golden and firm",6,medium,yes,lpg

22,1,prepare,"Prepare dough using wheat flour and water and let it rest",10,low,no,none
22,2,roll,"Roll dough into flat circle and apply oil or ghee, then fold and roll again",6,low,no,none
22,3,heat,"Heat tawa on medium flame",2,medium,no,lpg
22,4,cook,"Cook paratha on both sides applying oil or ghee until crispy and golden",6,medium,yes,lpg

23,1,prepare,"Boil potatoes, peel and mash them, mix with spices to prepare stuffing",10,medium,no,lpg
23,2,prepare,"Prepare dough using wheat flour and rest it",10,low,no,none
23,3,roll,"Stuff potato mixture into dough and roll gently into flat shape",6,low,no,none
23,4,heat,"Heat tawa on medium flame",2,medium,no,lpg
23,5,cook,"Cook stuffed paratha on both sides using oil or ghee until golden and crispy",7,medium,yes,lpg

24,1,prepare,"Grate cauliflower and mix with spices for stuffing",6,low,no,none
24,2,prepare,"Prepare dough and rest properly",10,low,no,none
24,3,roll,"Stuff cauliflower mixture into dough and roll carefully",6,low,no,none
24,4,heat,"Heat tawa on medium flame",2,medium,no,lpg
24,5,cook,"Cook paratha on both sides with oil until properly cooked",7,medium,yes,lpg

25,1,prepare,"Mix chopped methi leaves with wheat flour and spices to make dough",10,low,no,none
25,2,roll,"Roll dough into circular shape evenly",5,low,no,none
25,3,heat,"Heat tawa on medium flame",2,medium,no,lpg
25,4,cook,"Cook paratha on both sides with oil until golden",6,medium,yes,lpg

26,1,prepare,"Mix sattu with spices, onion and lemon juice to prepare stuffing",6,low,no,none
26,2,prepare,"Prepare dough and let it rest",10,low,no,none
26,3,roll,"Stuff sattu mixture into dough and roll carefully",6,low,no,none
26,4,heat,"Heat tawa on medium flame",2,medium,no,lpg
26,5,cook,"Cook paratha on both sides with oil or ghee until crispy and cooked",7,medium,yes,lpg
27,1,prepare,"Take wheat flour in a bowl, add a pinch of salt and mix well, then gradually add water and knead into a firm dough suitable for frying, keep it covered and rest for 10 minutes",10,low,no,none
27,2,roll,"Divide dough into small balls and roll into small circular discs using a rolling pin",6,low,no,none
27,3,heat,"Heat sufficient oil in a deep pan on medium-high flame until hot enough for frying",5,high,no,lpg
27,4,cook,"Slide rolled puri into hot oil and press gently so it puffs up, fry both sides until golden brown, then remove",6,high,yes,lpg

28,1,prepare,"Take maida in a bowl, add a small amount of oil and mix, then knead into a soft dough using water, cover and rest for 15 minutes",12,low,no,none
28,2,roll,"Divide into small balls and roll into thin flat circles evenly",6,low,no,none
28,3,heat,"Heat oil in deep pan on medium-high flame",5,high,no,lpg
28,4,cook,"Fry each luchi in hot oil until it puffs and turns light golden, then remove carefully",6,high,yes,lpg

29,1,prepare,"Wash rice and dal together thoroughly and soak for about 10 minutes, then drain water completely",6,low,no,none
29,2,heat,"Place a pressure cooker on stove, add a small amount of oil or ghee and heat on medium flame",2,medium,no,lpg
29,3,fry,"Add cumin seeds and sauté until they start crackling and release aroma",2,medium,no,lpg
29,4,boil,"Add water along with soaked rice and dal mixture, bring it to a boil",5,high,yes,induction
29,5,cook,"Close cooker lid and cook for 2–3 whistles until rice and dal become soft and mushy",10,medium,yes,lpg

30,1,prepare,"Wash rice and dal together and soak for 10 minutes, chop vegetables like carrot, beans and peas",8,low,no,none
30,2,heat,"Heat oil or ghee in pressure cooker on medium flame",2,medium,no,lpg
30,3,fry,"Add cumin seeds and chopped vegetables, sauté for few minutes until slightly soft",5,medium,no,lpg
30,4,boil,"Add water along with soaked rice and dal, mix well and bring to boil",5,high,yes,induction
30,5,cook,"Cover and cook for 2–3 whistles until everything is well cooked and soft",10,medium,yes,lpg

31,1,prepare,"Wash dal properly and soak for about 10 minutes to reduce cooking time",6,low,no,none
31,2,boil,"Add dal and water into pressure cooker and bring to boil on high flame",5,high,yes,induction
31,3,cook,"Close lid and cook for 2–3 whistles until dal is soft and fully cooked",10,medium,yes,lpg
31,4,finish,"Add salt and turmeric, mix well and simmer for few minutes before serving",4,low,no,lpg

32,1,prepare,"Wash dal and cook it in pressure cooker with water until soft",10,medium,yes,lpg
32,2,heat,"Heat oil or ghee in a separate pan on medium flame",2,medium,no,lpg
32,3,fry,"Add chopped garlic, cumin seeds and red chilli, sauté until golden and aromatic",3,medium,no,lpg
32,4,combine,"Pour prepared tadka over cooked dal and mix well",2,low,no,none
32,5,finish,"Simmer for few minutes to blend flavors properly",3,low,no,lpg

33,1,prepare,"Cook dal in pressure cooker until soft and keep aside",10,medium,yes,lpg
33,2,heat,"Heat oil or ghee in pan on medium flame",2,medium,no,lpg
33,3,fry,"Add chopped onion and sauté until translucent, then add garlic and tomato and cook until soft",6,medium,no,lpg
33,4,combine,"Add cooked dal into pan and mix thoroughly with masala",3,low,no,lpg
33,5,finish,"Cook for few minutes until flavors blend well",4,low,no,lpg

34,1,prepare,"Wash and soak mixed dals together for about 15 minutes",8,low,no,none
34,2,boil,"Add soaked dals and water into cooker and bring to boil",5,high,yes,induction
34,3,cook,"Cook under pressure until all dals are soft and well combined",12,medium,yes,lpg
34,4,finish,"Add salt and spices, simmer for few minutes",4,low,no,lpg

35,1,prepare,"Wash dal and spinach leaves thoroughly and chop spinach finely",6,low,no,none
35,2,boil,"Cook dal with water in pressure cooker until soft",10,medium,yes,lpg
35,3,heat,"Heat oil in pan and sauté garlic lightly",3,medium,no,lpg
35,4,combine,"Add spinach and cooked dal together and mix well",3,low,no,lpg
35,5,finish,"Cook for few minutes until spinach is properly blended",4,low,no,lpg

36,1,prepare,"Soak black dal and rajma overnight for better cooking",10,low,no,none
36,2,boil,"Cook soaked dal and rajma in pressure cooker until very soft",15,medium,yes,lpg
36,3,heat,"Heat butter in pan and add spices, sauté lightly",3,medium,no,lpg
36,4,combine,"Add cooked dal mixture into pan and mix well",4,low,no,lpg
36,5,finish,"Add cream and simmer on low flame for rich texture",8,low,no,lpg

37,1,prepare,"Wash dal and soak for 10 minutes",6,low,no,none
37,2,boil,"Cook dal with water in pressure cooker until soft",10,medium,yes,lpg
37,3,heat,"Heat oil and add mustard seeds, curry leaves and spices",3,medium,no,lpg
37,4,combine,"Add cooked dal along with jaggery and tamarind pulp and mix well",4,low,no,lpg
37,5,finish,"Simmer for few minutes to balance sweet and tangy flavor",5,low,no,lpg

38,1,prepare,"Wash toor dal thoroughly and soak briefly",5,low,no,none
38,2,boil,"Add dal and water to cooker and bring to boil",5,high,yes,induction
38,3,cook,"Cook under pressure until soft and mashable",10,medium,yes,lpg
38,4,finish,"Add salt and turmeric, mix well and simmer briefly",3,low,no,lpg

39,1,prepare,"Wash moong dal properly and soak for few minutes",5,low,no,none
39,2,boil,"Cook dal with water until soft",8,medium,yes,lpg
39,3,finish,"Add salt and turmeric and simmer for few minutes",3,low,no,lpg

40,1,prepare,"Wash masoor dal properly before cooking",5,low,no,none
40,2,boil,"Cook dal with water until soft and fully done",8,medium,yes,lpg
40,3,finish,"Add salt and turmeric and cook for few minutes",3,low,no,lpg

41,1,prepare,"Wash chana dal thoroughly and soak it in water for about 15 minutes to soften it slightly",8,low,no,none
41,2,boil,"Place soaked dal with water in a vessel and heat on induction until it starts boiling",6,high,yes,induction
41,3,cook,"Transfer to pressure cooker and cook on LPG for 2–3 whistles until soft",10,medium,yes,lpg
41,4,finish,"Add salt and spices, mix well and simmer briefly",4,low,no,lpg

42,1,prepare,"Mix curd with gram flour and water to make smooth batter without lumps",6,low,no,none
42,2,heat,"Heat mixture on induction and keep stirring continuously until it starts boiling",8,medium,yes,induction
42,3,cook,"Shift to LPG and cook on low flame allowing kadhi to thicken slowly",12,low,yes,lpg
42,4,finish,"Prepare tempering with mustard seeds and curry leaves on LPG and add to kadhi",4,medium,no,lpg

43,1,prepare,"Prepare pakora batter and fry small pakoras in hot oil on LPG until golden",10,high,yes,lpg
43,2,prepare,"Prepare kadhi mixture using curd and gram flour",5,low,no,none
43,3,heat,"Heat kadhi mixture on induction until boiling",8,medium,yes,induction
43,4,cook,"Add pakoras and cook on LPG on low flame to absorb flavors",10,low,yes,lpg
43,5,finish,"Add final tadka on LPG for enhanced taste",4,medium,no,lpg

44,1,prepare,"Soak rajma overnight or for at least 6–8 hours",10,low,no,none
44,2,boil,"Boil rajma in water on induction until it starts cooking",8,high,yes,induction
44,3,cook,"Pressure cook rajma on LPG until soft and fully cooked",15,medium,yes,lpg
44,4,fry,"Prepare masala by sautéing onion, tomato and spices on LPG",8,medium,no,lpg
44,5,combine,"Mix cooked rajma with masala and cook further on LPG",10,low,yes,lpg

45,1,prepare,"Soak chickpeas overnight and drain water",10,low,no,none
45,2,boil,"Boil chickpeas on induction until water heats and starts boiling",8,high,yes,induction
45,3,cook,"Pressure cook on LPG until chickpeas become soft",15,medium,yes,lpg
45,4,fry,"Prepare masala base using onion, tomato and spices on LPG",8,medium,no,lpg
45,5,combine,"Add chickpeas and cook together on LPG until flavors blend",10,low,yes,lpg

46,1,prepare,"Soak chickpeas and keep ready for cooking",10,low,no,none
46,2,boil,"Start boiling chickpeas with water on induction",8,high,yes,induction
46,3,cook,"Cook under pressure on LPG until soft",15,medium,yes,lpg
46,4,fry,"Prepare masala with spices, onion and tomato on LPG",8,medium,no,lpg
46,5,combine,"Mix chickpeas with masala and cook on LPG",10,low,yes,lpg

47,1,prepare,"Soak black chana overnight and wash properly",10,low,no,none
47,2,boil,"Boil chana on induction until water reaches boiling point",8,high,yes,induction
47,3,cook,"Cook under pressure on LPG until tender",15,medium,yes,lpg
47,4,fry,"Prepare masala using spices on LPG",7,medium,no,lpg
47,5,combine,"Mix chana with masala and cook further",10,low,yes,lpg

48,1,prepare,"Soak dried white peas overnight and wash",10,low,no,none
48,2,boil,"Heat peas with water on induction until boiling",8,high,yes,induction
48,3,cook,"Pressure cook on LPG until peas are soft",15,medium,yes,lpg
48,4,fry,"Prepare curry base using onion, tomato and spices on LPG",8,medium,no,lpg
48,5,combine,"Add peas to curry and cook on LPG",10,low,yes,lpg

49,1,prepare,"Soak lobia overnight and wash properly",10,low,no,none
49,2,boil,"Boil lobia with water on induction",8,high,yes,induction
49,3,cook,"Cook under pressure on LPG until soft",15,medium,yes,lpg
49,4,fry,"Prepare masala on LPG using spices and onion",7,medium,no,lpg
49,5,combine,"Mix lobia with masala and cook further",10,low,yes,lpg

50,1,prepare,"Soak green gram overnight or sprout it before cooking",10,low,no,none
50,2,boil,"Boil green gram on induction until water heats properly",7,high,yes,induction
50,3,cook,"Cook on LPG until soft and properly done",12,medium,yes,lpg
50,4,finish,"Add spices and cook briefly on LPG",4,low,no,lpg

51,1,prepare,"Use pre-sprouted grains and wash them properly",5,low,no,none
51,2,boil,"Heat sprouts with water on induction until boiling",6,high,yes,induction
51,3,cook,"Cook on LPG until tender but not mushy",10,medium,yes,lpg
51,4,finish,"Add spices and cook briefly",4,low,no,lpg

52,1,prepare,"Soak soya chunks in hot water for 10 minutes and squeeze out excess water",10,low,no,none
52,2,boil,"Heat water for soaking on induction for faster heating",5,high,yes,induction
52,3,fry,"Prepare curry base by sautéing onion and spices on LPG",8,medium,no,lpg
52,4,combine,"Add soya chunks and cook with masala on LPG",10,medium,yes,lpg
52,5,finish,"Cook until flavors blend and oil separates slightly",5,low,no,lpg

53,1,prepare,"Soak peanuts for few hours and wash properly",8,low,no,none
53,2,boil,"Boil peanuts with water on induction until heated well",7,high,yes,induction
53,3,cook,"Cook on LPG until peanuts are soft",12,medium,yes,lpg
53,4,fry,"Prepare curry base using spices on LPG",7,medium,no,lpg
53,5,combine,"Mix peanuts with curry and cook on LPG",10,low,yes,lpg
54,1,prepare,"Mix besan with curd and water to make a smooth lump-free batter",6,low,no,none
54,2,heat,"Heat mixture on induction while stirring continuously until it starts boiling",8,medium,yes,induction
54,3,cook,"Shift to LPG and cook on low flame until curry thickens properly",10,low,yes,lpg
54,4,finish,"Prepare tempering with spices on LPG and add to curry",4,medium,no,lpg

55,1,prepare,"Wash and cut potatoes and cauliflower into medium-sized pieces",6,low,no,none
55,2,heat,"Preheat pan with oil on induction for faster heating",3,medium,no,induction
55,3,fry,"Add vegetables and sauté on LPG on medium flame until slightly soft",8,medium,no,lpg
55,4,cook,"Add spices, cover and cook on LPG until vegetables are fully cooked",12,medium,yes,lpg

56,1,prepare,"Wash and cut bhindi into small pieces ensuring they are dry",6,low,no,none
56,2,heat,"Heat oil on induction for quick heating",3,medium,no,induction
56,3,cook,"Cook bhindi on LPG on medium flame stirring occasionally until non-sticky",12,medium,yes,lpg
56,4,finish,"Add spices and cook briefly until well mixed",4,low,no,lpg

57,1,prepare,"Roast whole brinjal directly on LPG flame until skin is charred and inside soft",10,high,yes,lpg
57,2,prepare,"Peel skin and mash roasted brinjal properly",5,low,no,none
57,3,heat,"Heat oil on induction",3,medium,no,induction
57,4,fry,"Cook onion, tomato and spices on LPG until soft",8,medium,no,lpg
57,5,combine,"Add mashed brinjal and cook on LPG until well blended",8,low,yes,lpg

58,1,prepare,"Peel and chop lauki into small cubes",5,low,no,none
58,2,heat,"Heat oil on induction for faster start",3,medium,no,induction
58,3,cook,"Cook lauki on LPG with spices on medium flame until soft",12,medium,yes,lpg

59,1,prepare,"Wash and cut tinda into pieces",5,low,no,none
59,2,heat,"Heat oil on induction",3,medium,no,induction
59,3,cook,"Cook tinda on LPG with spices until tender",12,medium,yes,lpg

60,1,prepare,"Wash and slice parwal into small pieces",5,low,no,none
60,2,heat,"Heat oil on induction",3,medium,no,induction
60,3,cook,"Cook parwal on LPG with spices until soft and cooked",12,medium,yes,lpg

61,1,prepare,"Wash and finely chop cabbage",5,low,no,none
61,2,heat,"Heat oil on induction",3,medium,no,induction
61,3,fry,"Add cabbage and sauté on LPG on medium flame",8,medium,no,lpg
61,4,finish,"Add spices and cook until cabbage softens",6,low,yes,lpg

62,1,prepare,"Wash and cut beans into small pieces",5,low,no,none
62,2,heat,"Heat oil on induction",3,medium,no,induction
62,3,cook,"Cook beans on LPG with spices until tender",10,medium,yes,lpg

63,1,prepare,"Wash and chop carrot and peas",5,low,no,none
63,2,heat,"Heat oil on induction",3,medium,no,induction
63,3,cook,"Cook vegetables on LPG with spices until soft",10,medium,yes,lpg

64,1,prepare,"Peel and cut pumpkin into cubes",5,low,no,none
64,2,heat,"Heat oil on induction",3,medium,no,induction
64,3,cook,"Cook pumpkin on LPG with spices until soft and slightly mushy",10,medium,yes,lpg

65,1,prepare,"Wash and cut drumstick into pieces",5,low,no,none
65,2,boil,"Boil drumstick with water on induction until partially cooked",8,high,yes,induction
65,3,cook,"Cook further on LPG with spices and tamarind until fully done",12,medium,yes,lpg

66,1,prepare,"Wash, peel and chop beetroot into small pieces",5,low,no,none
66,2,boil,"Boil beetroot on induction until partially soft",8,high,yes,induction
66,3,cook,"Cook on LPG with spices until fully tender",10,medium,yes,lpg

67,1,prepare,"Wash and chop spinach leaves finely",5,low,no,none
67,2,heat,"Heat oil on induction",3,medium,no,induction
67,3,fry,"Cook garlic and spinach on LPG until wilted",8,medium,no,lpg
67,4,finish,"Add spices and cook briefly",3,low,no,lpg

68,1,prepare,"Wash and chop methi leaves and cut potatoes if using",6,low,no,none
68,2,heat,"Heat oil on induction",3,medium,no,induction
68,3,cook,"Cook methi and potatoes on LPG until soft and cooked",12,medium,yes,lpg

69,1,prepare,"Wash and cut mixed vegetables into uniform pieces",6,low,no,none
69,2,heat,"Heat oil on induction",3,medium,no,induction
69,3,fry,"Cook onion, tomato and spices on LPG until soft",8,medium,no,lpg
69,4,combine,"Add vegetables and cook on LPG until tender",12,medium,yes,lpg

70,1,prepare,"Crumble paneer and chop onion and tomato",5,low,no,none
70,2,heat,"Heat oil on induction",3,medium,no,induction
70,3,fry,"Cook onion, tomato and spices on LPG until soft",8,medium,no,lpg
70,4,combine,"Add paneer and cook on LPG for few minutes",6,medium,yes,lpg
70,5,finish,"Cook briefly until flavors mix well",3,low,no,lpg
71,1,prepare,"Cut paneer into cubes and keep ready along with chopped onion and tomato",5,low,no,none
71,2,heat,"Heat oil on induction for quick start",3,medium,no,induction
71,3,fry,"Cook onion, tomato and spices on LPG until soft",8,medium,no,lpg
71,4,combine,"Add paneer and cook with gravy on LPG",8,medium,yes,lpg

72,1,prepare,"Wash spinach and paneer cubes properly",5,low,no,none
72,2,boil,"Boil spinach on induction until soft",6,high,yes,induction
72,3,prepare,"Grind spinach into smooth paste",4,low,no,none
72,4,heat,"Heat oil on induction",3,medium,no,induction
72,5,cook,"Cook spinach paste with spices on LPG and add paneer",10,medium,yes,lpg

73,1,prepare,"Cut paneer and prepare peas",5,low,no,none
73,2,boil,"Boil peas on induction until soft",6,high,yes,induction
73,3,heat,"Heat oil on induction",3,medium,no,induction
73,4,fry,"Cook onion, tomato and spices on LPG",8,medium,no,lpg
73,5,combine,"Add paneer and peas and cook on LPG",10,medium,yes,lpg

74,1,prepare,"Cut paneer and prepare tomato puree",5,low,no,none
74,2,heat,"Heat butter on induction",3,medium,no,induction
74,3,fry,"Cook tomato puree and spices on LPG until thick",10,medium,no,lpg
74,4,combine,"Add paneer and cream and cook on LPG",8,medium,yes,lpg

75,1,prepare,"Prepare paneer cubes and cashew paste",6,low,no,none
75,2,heat,"Heat oil or butter on induction",3,medium,no,induction
75,3,fry,"Cook spices and cashew paste on LPG",8,medium,no,lpg
75,4,combine,"Add paneer and cream and cook on LPG",10,medium,yes,lpg

76,1,prepare,"Cut paneer and vegetables like capsicum",5,low,no,none
76,2,heat,"Heat oil on induction",3,medium,no,induction
76,3,cook,"Cook paneer and vegetables on LPG with spices",10,medium,yes,lpg

77,1,prepare,"Boil eggs in water on induction until fully cooked",8,high,yes,induction
77,2,prepare,"Peel boiled eggs and keep ready",4,low,no,none
77,3,heat,"Heat oil on induction",3,medium,no,induction
77,4,fry,"Cook onion, tomato and spices on LPG",8,medium,no,lpg
77,5,combine,"Add eggs and cook on LPG with gravy",8,medium,yes,lpg

78,1,prepare,"Break eggs into a bowl and beat them properly",4,low,no,none
78,2,heat,"Heat oil on induction",3,medium,no,induction
78,3,cook,"Cook onion, tomato and spices on LPG",6,medium,no,lpg
78,4,combine,"Add eggs and scramble on LPG until cooked",6,medium,yes,lpg

79,1,prepare,"Beat eggs with salt and chopped onion and chilli",4,low,no,none
79,2,heat,"Heat pan on induction",3,medium,no,induction
79,3,cook,"Pour egg mixture and cook omelette on LPG until done",5,medium,yes,lpg

80,1,prepare,"Boil eggs on induction until hard boiled",8,high,yes,induction
80,2,prepare,"Peel eggs and keep ready",4,low,no,none
80,3,heat,"Heat oil on induction",3,medium,no,induction
80,4,fry,"Cook onion, tomato and spices on LPG",8,medium,no,lpg
80,5,combine,"Add eggs and cook on LPG with masala",8,medium,yes,lpg

81,1,prepare,"Clean fish and cut into pieces",5,low,no,none
81,2,heat,"Heat oil on induction",3,medium,no,induction
81,3,fry,"Lightly fry fish on LPG until slightly golden",6,medium,no,lpg
81,4,prepare,"Prepare curry base using spices on LPG",8,medium,no,lpg
81,5,combine,"Add fish and cook on LPG until done",10,medium,yes,lpg

82,1,prepare,"Clean fish and apply spices",5,low,no,none
82,2,heat,"Heat oil on induction",3,medium,no,induction
82,3,cook,"Fry fish on LPG until crispy and cooked",8,medium,yes,lpg

83,1,prepare,"Prepare mustard paste and clean fish",6,low,no,none
83,2,heat,"Heat oil on induction",3,medium,no,induction
